Territorialidades;ESTADO;Municipio;CodMunicipio;IDHM 2010;IDHM Renda 2010;IDHM Longevidade 2010;IDHM Educação 2010
São Vicente do Sul (RS);(RS);São Vicente do Sul;#N/D;0,685;0,698;0,831;0,553
São Vicente Ferrer (MA);(MA);São Vicente Ferrer;#N/D;0,592;0,504;0,762;0,541
São Vicente Ferrer (PE);(PE);São Vicente Ferrer;#N/D;0,549;0,558;0,715;0,414
São Vicente (RN);(RN);São Vicente;#N/D;0,642;0,606;0,787;0,556
São Vicente (SP);(SP);São Vicente;#N/D;0,768;0,738;0,857;0,716
Sapeaçu (BA);(BA);Sapeaçu;#N/D;0,614;0,602;0,735;0,522
Sapé (PB);(PB);Sapé;#N/D;0,569;0,563;0,711;0,461
Sapezal (MT);(MT);Sapezal;510787;0,732;0,758;0,836;0,62
Sapiranga (RS);(RS);Sapiranga;431990;0,711;0,722;0,832;0,598
Sapopema (PR);(PR);Sapopema;412620;0,655;0,695;0,795;0,509
Sapucaia do Sul (RS);(RS);Sapucaia do Sul;432000;0,726;0,726;0,844;0,624
Sapucaia (PA);(PA);Sapucaia;150775;0,59;0,639;0,792;0,405
Sapucaia (RJ);(RJ);Sapucaia;330540;0,675;0,682;0,804;0,561
Sapucaí-Mirim (MG);(MG);Sapucaí-Mirim;#N/D;0,68;0,664;0,842;0,563
Saquarema (RJ);(RJ);Saquarema;330550;0,709;0,714;0,804;0,621
Sarandi (PR);(PR);Sarandi;412625;0,695;0,681;0,85;0,579
Sarandi (RS);(RS);Sarandi;432010;0,777;0,776;0,858;0,705
Sarapuí (SP);(SP);Sarapuí;#N/D;0,707;0,699;0,814;0,621
Sardoá (MG);(MG);Sardoá;#N/D;0,636;0,594;0,812;0,533
Sarutaiá (SP);(SP);Sarutaiá;#N/D;0,688;0,679;0,794;0,603
Sarzedo (MG);(MG);Sarzedo;316553;0,734;0,706;0,871;0,643
Sátiro Dias (BA);(BA);Sátiro Dias;#N/D;0,527;0,524;0,736;0,379
Satuba (AL);(AL);Satuba;270890;0,66;0,619;0,794;0,585
Satubinha (MA);(MA);Satubinha;211172;0,493;0,45;0,72;0,369
Saubara (BA);(BA);Saubara;#N/D;0,617;0,563;0,738;0,565
Saudade do Iguaçu (PR);(PR);Saudade do Iguaçu;#N/D;0,699;0,695;0,803;0,611
Saudades (SC);(SC);Saudades;421730;0,755;0,723;0,85;0,7
Saúde (BA);(BA);Saúde;#N/D;0,549;0,546;0,685;0,442
Schroeder (SC);(SC);Schroeder;421740;0,769;0,75;0,855;0,71
Seabra (BA);(BA);Seabra;292990;0,635;0,588;0,761;0,572
Seara (SC);(SC);Seara;#N/D;0,779;0,804;0,872;0,674
Sebastianópolis do Sul (SP);(SP);Sebastianópolis do Sul;#N/D;0,773;0,748;0,835;0,74
Sebastião Barros (PI);(PI);Sebastião Barros;#N/D;0,536;0,508;0,77;0,394
Sebastião Laranjeiras (BA);(BA);Sebastião Laranjeiras;#N/D;0,615;0,569;0,777;0,527
Sebastião Leal (PI);(PI);Sebastião Leal;#N/D;0,562;0,516;0,736;0,467
Seberi (RS);(RS);Seberi;432020;0,723;0,706;0,865;0,62
Sede Nova (RS);(RS);Sede Nova;432023;0,712;0,751;0,886;0,543
Segredo (RS);(RS);Segredo;432026;0,659;0,673;0,811;0,525
Selbach (RS);(RS);Selbach;#N/D;0,777;0,785;0,841;0,71
Selvíria (MS);(MS);Selvíria;#N/D;0,682;0,668;0,825;0,576
Sem-Peixe (MG);(MG);Sem-Peixe;316556;0,654;0,623;0,826;0,543
Senador Alexandre Costa (MA);(MA);Senador Alexandre Costa;211174;0,538;0,52;0,689;0,435
Senador Amaral (MG);(MG);Senador Amaral;#N/D;0,661;0,623;0,821;0,564
