Territorialidades;ESTADO;Municipio;CodMunicipio;IDHM 2010;IDHM Renda 2010;IDHM Longevidade 2010;IDHM Educação 2010
Abadia de Goiás (GO);(GO);Abadia de Goiás;#N/D;0,708;0,687;0,83;0,622
Abadia dos Dourados (MG);(MG);Abadia dos Dourados;310010;0,689;0,693;0,839;0,563
Abadiânia (GO);(GO);Abadiânia;#N/D;0,689;0,671;0,841;0,579
Abaeté (MG);(MG);Abaeté;#N/D;0,698;0,72;0,848;0,556
Abaetetuba (PA);(PA);Abaetetuba;150010;0,628;0,579;0,798;0,537
Abaiara (CE);(CE);Abaiara;230010;0,628;0,54;0,748;0,612
Abaíra (BA);(BA);Abaíra;#N/D;0,603;0,577;0,746;0,51
Abaré (BA);(BA);Abaré;#N/D;0,575;0,533;0,776;0,46
Abatiá (PR);(PR);Abatiá;#N/D;0,687;0,676;0,804;0,596
Abdon Batista (SC);(SC);Abdon Batista;#N/D;0,694;0,66;0,812;0,625
Abelardo Luz (SC);(SC);Abelardo Luz;420010;0,696;0,684;0,852;0,578
Abel Figueiredo (PA);(PA);Abel Figueiredo;150013;0,622;0,625;0,8;0,481
Abre Campo (MG);(MG);Abre Campo;310030;0,654;0,646;0,823;0,525
Abreu E Lima (PE);(PE);Abreu E Lima;260005;0,679;0,625;0,791;0,632
Abreulândia (TO);(TO);Abreulândia;#N/D;0,665;0,7;0,835;0,502
Acaiaca (MG);(MG);Acaiaca;310040;0,63;0,61;0,823;0,499
Açailândia (MA);(MA);Açailândia;#N/D;0,672;0,643;0,785;0,602
Acajutiba (BA);(BA);Acajutiba;290030;0,582;0,56;0,723;0,487
Acará (PA);(PA);Acará;#N/D;0,506;0,517;0,757;0,332
Acarape (CE);(CE);Acarape;230015;0,606;0,559;0,709;0,562
Acaraú (CE);(CE);Acaraú;#N/D;0,601;0,554;0,758;0,517
Acari (RN);(RN);Acari;240010;0,679;0,633;0,779;0,634
Acauã (PI);(PI);Acauã;#N/D;0,528;0,517;0,692;0,411
Aceguá (RS);(RS);Aceguá;#N/D;0,687;0,703;0,852;0,541
Acopiara (CE);(CE);Acopiara;230030;0,595;0,563;0,724;0,517
Acorizal (MT);(MT);Acorizal;510010;0,628;0,594;0,816;0,51
Acrelândia (AC);(AC);Acrelândia;#N/D;0,604;0,584;0,808;0,466
Acreúna (GO);(GO);Acreúna;#N/D;0,686;0,71;0,822;0,553
Açucena (MG);(MG);Açucena;#N/D;0,61;0,595;0,844;0,451
Açu (RN);(RN);Açu;#N/D;0,661;0,641;0,795;0,568
Adamantina (SP);(SP);Adamantina;350010;0,79;0,772;0,852;0,75
Adelândia (GO);(GO);Adelândia;#N/D;0,702;0,664;0,836;0,622
Adolfo (SP);(SP);Adolfo;350020;0,73;0,71;0,844;0,648
Adrianópolis (PR);(PR);Adrianópolis;#N/D;0,667;0,644;0,817;0,563
Adustina (BA);(BA);Adustina;#N/D;0,546;0,526;0,718;0,432
Afogados da Ingazeira (PE);(PE);Afogados da Ingazeira;#N/D;0,657;0,623;0,807;0,565
Afonso Bezerra (RN);(RN);Afonso Bezerra;240030;0,585;0,56;0,713;0,502
Afonso Cláudio (ES);(ES);Afonso Cláudio;#N/D;0,667;0,661;0,825;0,544
Afonso Cunha (MA);(MA);Afonso Cunha;#N/D;0,529;0,471;0,725;0,434
Afrânio (PE);(PE);Afrânio;#N/D;0,588;0,542;0,761;0,493
Afuá (PA);(PA);Afuá;#N/D;0,489;0,485;0,774;0,311
Agrestina (PE);(PE);Agrestina;260030;0,592;0,581;0,76;0,47
Agricolândia (PI);(PI);Agricolândia;#N/D;0,599;0,55;0,742;0,526
Agrolândia (SC);(SC);Agrolândia;#N/D;0,725;0,727;0,827;0,633
Agronômica (SC);(SC);Agronômica;#N/D;0,741;0,774;0,884;0,595
Água Azul do Norte (PA);(PA);Água Azul do Norte;#N/D;0,564;0,563;0,797;0,399
Água Boa (MG);(MG);Água Boa;#N/D;0,576;0,594;0,799;0,403
Água Boa (MT);(MT);Água Boa;#N/D;0,729;0,723;0,829;0,646
Água Branca (AL);(AL);Água Branca;#N/D;0,549;0,527;0,728;0,432
Água Branca (PB);(PB);Água Branca;#N/D;0,572;0,542;0,712;0,484
Água Branca (PI);(PI);Água Branca;#N/D;0,639;0,6;0,763;0,569
Água Clara (MS);(MS);Água Clara;#N/D;0,67;0,705;0,823;0,518
Água Comprida (MG);(MG);Água Comprida;#N/D;0,675;0,719;0,86;0,498
Água Doce do Maranhão (MA);(MA);Água Doce do Maranhão;#N/D;0,5;0,494;0,697;0,363
Água Doce do Norte (ES);(ES);Água Doce do Norte;#N/D;0,652;0,619;0,819;0,546
Água Doce (SC);(SC);Água Doce;#N/D;0,698;0,724;0,82;0,574
Água Fria (BA);(BA);Água Fria;#N/D;0,55;0,529;0,747;0,422
Água Fria de Goiás (GO);(GO);Água Fria de Goiás;#N/D;0,671;0,672;0,817;0,55
Aguaí (SP);(SP);Aguaí;#N/D;0,715;0,703;0,858;0,606
Água Limpa (GO);(GO);Água Limpa;#N/D;0,722;0,691;0,821;0,663
Aguanil (MG);(MG);Aguanil;310080;0,663;0,672;0,845;0,513
Água Nova (RN);(RN);Água Nova;#N/D;0,616;0,527;0,776;0,572
Água Preta (PE);(PE);Água Preta;#N/D;0,553;0,514;0,761;0,432
Água Santa (RS);(RS);Água Santa;#N/D;0,75;0,84;0,85;0,59
Águas Belas (PE);(PE);Águas Belas;#N/D;0,526;0,546;0,691;0,385
Águas da Prata (SP);(SP);Águas da Prata;#N/D;0,781;0,75;0,886;0,716
Águas de Chapecó (SC);(SC);Águas de Chapecó;#N/D;0,713;0,712;0,811;0,629
Águas de Lindóia (SP);(SP);Águas de Lindóia;#N/D;0,745;0,725;0,846;0,675
Águas de Santa Bárbara (SP);(SP);Águas de Santa Bárbara;#N/D;0,757;0,744;0,84;0,695
Águas de São Pedro (SP);(SP);Águas de São Pedro;#N/D;0,854;0,849;0,89;0,825
Águas Formosas (MG);(MG);Águas Formosas;#N/D;0,645;0,624;0,811;0,531
Águas Frias (SC);(SC);Águas Frias;#N/D;0,745;0,728;0,86;0,661
Águas Lindas de Goiás (GO);(GO);Águas Lindas de Goiás;#N/D;0,686;0,647;0,848;0,588
Águas Mornas (SC);(SC);Águas Mornas;#N/D;0,723;0,731;0,853;0,606
Águas Vermelhas (MG);(MG);Águas Vermelhas;#N/D;0,601;0,586;0,808;0,458
Agudo (RS);(RS);Agudo;430010;0,694;0,752;0,847;0,524
Agudos do Sul (PR);(PR);Agudos do Sul;#N/D;0,66;0,671;0,79;0,543
Agudos (SP);(SP);Agudos;350070;0,745;0,705;0,845;0,694
Águia Branca (ES);(ES);Águia Branca;#N/D;0,678;0,66;0,792;0,595
Aguiarnópolis (TO);(TO);Aguiarnópolis;#N/D;0,657;0,618;0,804;0,571
Aguiar (PB);(PB);Aguiar;250020;0,597;0,632;0,753;0,447
Aimorés (MG);(MG);Aimorés;#N/D;0,684;0,685;0,81;0,576
Aiquara (BA);(BA);Aiquara;#N/D;0,583;0,573;0,733;0,471
Aiuaba (CE);(CE);Aiuaba;230040;0,569;0,518;0,749;0,474
Aiuruoca (MG);(MG);Aiuruoca;#N/D;0,668;0,677;0,871;0,505
Ajuricaba (RS);(RS);Ajuricaba;#N/D;0,753;0,763;0,85;0,658
Alagoa Grande (PB);(PB);Alagoa Grande;250030;0,582;0,576;0,797;0,43
Alagoa (MG);(MG);Alagoa;#N/D;0,649;0,634;0,832;0,518
Alagoa Nova (PB);(PB);Alagoa Nova;#N/D;0,576;0,567;0,749;0,451
Alagoinha do Piauí (PI);(PI);Alagoinha do Piauí;#N/D;0,531;0,535;0,716;0,391
Alagoinha (PB);(PB);Alagoinha;250050;0,595;0,574;0,795;0,462
Alagoinha (PE);(PE);Alagoinha;260060;0,599;0,569;0,801;0,472
Alagoinhas (BA);(BA);Alagoinhas;290070;0,683;0,681;0,79;0,592
Alambari (SP);(SP);Alambari;350075;0,712;0,682;0,805;0,658
Albertina (MG);(MG);Albertina;310140;0,673;0,684;0,813;0,549
Alcântara (MA);(MA);Alcântara;#N/D;0,573;0,525;0,753;0,475
Alcântaras (CE);(CE);Alcântaras;#N/D;0,6;0,549;0,751;0,524
Alcantil (PB);(PB);Alcantil;#N/D;0,578;0,55;0,765;0,458
Alcinópolis (MS);(MS);Alcinópolis;#N/D;0,711;0,733;0,858;0,572
Alcobaça (BA);(BA);Alcobaça;#N/D;0,608;0,611;0,771;0,476
Aldeias Altas (MA);(MA);Aldeias Altas;210030;0,513;0,5;0,72;0,374
Alecrim (RS);(RS);Alecrim;430030;0,672;0,683;0,852;0,522
Alegre (ES);(ES);Alegre;320020;0,721;0,708;0,839;0,63
Alegrete do Piauí (PI);(PI);Alegrete do Piauí;#N/D;0,585;0,564;0,749;0,475
Alegrete (RS);(RS);Alegrete;430040;0,74;0,72;0,849;0,664
Alegria (RS);(RS);Alegria;430045;0,695;0,717;0,818;0,572
Além Paraíba (MG);(MG);Além Paraíba;#N/D;0,726;0,713;0,857;0,626
Alenquer (PA);(PA);Alenquer;150040;0,564;0,529;0,779;0,436
Alexandria (RN);(RN);Alexandria;240050;0,606;0,581;0,779;0,491
Alexânia (GO);(GO);Alexânia;#N/D;0,682;0,664;0,841;0,568
Alfenas (MG);(MG);Alfenas;310160;0,761;0,737;0,841;0,712
Alfredo Chaves (ES);(ES);Alfredo Chaves;320030;0,71;0,703;0,832;0,611
Alfredo Marcondes (SP);(SP);Alfredo Marcondes;350080;0,741;0,682;0,84;0,71
Alfredo Vasconcelos (MG);(MG);Alfredo Vasconcelos;310163;0,675;0,629;0,834;0,587
Alfredo Wagner (SC);(SC);Alfredo Wagner;#N/D;0,668;0,702;0,882;0,481
Algodão de Jandaíra (PB);(PB);Algodão de Jandaíra;#N/D;0,548;0,532;0,749;0,413
Alhandra (PB);(PB);Alhandra;250060;0,582;0,544;0,778;0,465
Aliança do Tocantins (TO);(TO);Aliança do Tocantins;#N/D;0,663;0,61;0,801;0,596
Aliança (PE);(PE);Aliança;#N/D;0,604;0,565;0,799;0,488
Almadina (BA);(BA);Almadina;290090;0,563;0,563;0,751;0,421
Almas (TO);(TO);Almas;#N/D;0,636;0,616;0,796;0,524
Almeirim (PA);(PA);Almeirim;150050;0,642;0,659;0,809;0,497
Almenara (MG);(MG);Almenara;#N/D;0,642;0,636;0,803;0,518
Almino Afonso (RN);(RN);Almino Afonso;#N/D;0,624;0,578;0,739;0,568
Almirante Tamandaré do Sul (RS);(RS);Almirante Tamandaré do Sul;#N/D;0,74;0,732;0,828;0,669
Almirante Tamandaré (PR);(PR);Almirante Tamandaré;#N/D;0,699;0,706;0,84;0,575
Aloândia (GO);(GO);Aloândia;#N/D;0,697;0,694;0,834;0,585
Alpercata (MG);(MG);Alpercata;310180;0,646;0,629;0,824;0,521
Alpestre (RS);(RS);Alpestre;430050;0,671;0,7;0,795;0,543
Alpinópolis (MG);(MG);Alpinópolis;#N/D;0,725;0,703;0,862;0,629
Alta Floresta D'Oeste (RO);(RO);Alta Floresta D'Oeste;110001;0,641;0,657;0,763;0,526
Alta Floresta (MT);(MT);Alta Floresta;510025;0,714;0,709;0,817;0,629
Altair (SP);(SP);Altair;350090;0,687;0,698;0,8;0,581
Altamira do Maranhão (MA);(MA);Altamira do Maranhão;#N/D;0,549;0,486;0,719;0,473
Altamira do Paraná (PR);(PR);Altamira do Paraná;#N/D;0,667;0,667;0,78;0,571
Altamira (PA);(PA);Altamira;150060;0,665;0,662;0,811;0,548
Altaneira (CE);(CE);Altaneira;230060;0,602;0,547;0,774;0,515
Alterosa (MG);(MG);Alterosa;310200;0,668;0,657;0,847;0,536
Altinho (PE);(PE);Altinho;260080;0,598;0,559;0,792;0,482
Altinópolis (SP);(SP);Altinópolis;#N/D;0,73;0,726;0,843;0,635
Alto Alegre do Maranhão (MA);(MA);Alto Alegre do Maranhão;#N/D;0,554;0,516;0,744;0,444
Alto Alegre do Pindaré (MA);(MA);Alto Alegre do Pindaré;#N/D;0,558;0,465;0,774;0,483
Alto Alegre dos Parecis (RO);(RO);Alto Alegre dos Parecis;110037;0,592;0,603;0,777;0,443
Alto Alegre (RR);(RR);Alto Alegre;140005;0,542;0,518;0,813;0,379
Alto Alegre (RS);(RS);Alto Alegre;#N/D;0,747;0,756;0,859;0,642
Alto Alegre (SP);(SP);Alto Alegre;350110;0,7;0,683;0,817;0,616
Alto Araguaia (MT);(MT);Alto Araguaia;510030;0,704;0,712;0,802;0,612
Alto Bela Vista (SC);(SC);Alto Bela Vista;#N/D;0,755;0,734;0,882;0,664
Alto Boa Vista (MT);(MT);Alto Boa Vista;510035;0,651;0,613;0,803;0,561
Alto Caparaó (MG);(MG);Alto Caparaó;#N/D;0,661;0,666;0,842;0,514
Alto do Rodrigues (RN);(RN);Alto do Rodrigues;240070;0,672;0,647;0,8;0,585
Alto Feliz (RS);(RS);Alto Feliz;#N/D;0,734;0,74;0,886;0,603
Alto Garças (MT);(MT);Alto Garças;#N/D;0,701;0,707;0,835;0,583
Alto Horizonte (GO);(GO);Alto Horizonte;520055;0,719;0,709;0,841;0,624
Alto Jequitibá (MG);(MG);Alto Jequitibá;#N/D;0,66;0,66;0,787;0,554
Alto Longá (PI);(PI);Alto Longá;#N/D;0,585;0,567;0,751;0,47
Altônia (PR);(PR);Altônia;#N/D;0,721;0,69;0,848;0,641
Alto Paraguai (MT);(MT);Alto Paraguai;510050;0,638;0,612;0,784;0,541
Alto Paraíso de Goiás (GO);(GO);Alto Paraíso de Goiás;#N/D;0,713;0,723;0,819;0,611
Alto Paraíso (PR);(PR);Alto Paraíso;#N/D;0,678;0,677;0,829;0,556
Alto Paraíso (RO);(RO);Alto Paraíso;#N/D;0,625;0,664;0,804;0,457
Alto Paraná (PR);(PR);Alto Paraná;#N/D;0,696;0,679;0,846;0,587
Alto Parnaíba (MA);(MA);Alto Parnaíba;#N/D;0,633;0,683;0,785;0,474
Alto Piquiri (PR);(PR);Alto Piquiri;#N/D;0,676;0,669;0,798;0,578
Alto Rio Doce (MG);(MG);Alto Rio Doce;310210;0,62;0,595;0,828;0,483
Alto Rio Novo (ES);(ES);Alto Rio Novo;320035;0,664;0,634;0,815;0,567
Alto Santo (CE);(CE);Alto Santo;230070;0,601;0,563;0,774;0,499
Altos (PI);(PI);Altos;220040;0,614;0,59;0,767;0,512
Alto Taquari (MT);(MT);Alto Taquari;510060;0,705;0,736;0,833;0,571
Alumínio (SP);(SP);Alumínio;#N/D;0,766;0,729;0,841;0,732
Alvarães (AM);(AM);Alvarães;#N/D;0,527;0,499;0,778;0,377
Alvarenga (MG);(MG);Alvarenga;310220;0,592;0,589;0,798;0,441
Álvares Florence (SP);(SP);Álvares Florence;#N/D;0,728;0,701;0,806;0,683
Álvares Machado (SP);(SP);Álvares Machado;#N/D;0,758;0,712;0,834;0,732
Álvaro de Carvalho (SP);(SP);Álvaro de Carvalho;#N/D;0,688;0,669;0,805;0,605
Alvinlândia (SP);(SP);Alvinlândia;#N/D;0,722;0,721;0,791;0,659
Alvinópolis (MG);(MG);Alvinópolis;#N/D;0,676;0,651;0,822;0,577
Alvorada de Minas (MG);(MG);Alvorada de Minas;#N/D;0,572;0,57;0,794;0,414
Alvorada D'Oeste (RO);(RO);Alvorada D'Oeste;110034;0,643;0,654;0,763;0,534
Alvorada do Gurguéia (PI);(PI);Alvorada do Gurguéia;#N/D;0,578;0,52;0,749;0,496
Alvorada do Norte (GO);(GO);Alvorada do Norte;520080;0,66;0,64;0,819;0,548
Alvorada do Sul (PR);(PR);Alvorada do Sul;410080;0,708;0,695;0,826;0,617
Alvorada (RS);(RS);Alvorada;430060;0,699;0,694;0,874;0,564
Alvorada (TO);(TO);Alvorada;170070;0,708;0,677;0,843;0,623
Amajari (RR);(RR);Amajari;140002;0,484;0,437;0,815;0,319
Amambai (MS);(MS);Amambai;500060;0,673;0,683;0,818;0,546
Amapá (AP);(AP);Amapá;#N/D;0,642;0,631;0,79;0,532
Amapá do Maranhão (MA);(MA);Amapá do Maranhão;#N/D;0,52;0,503;0,688;0,406
Amaporã (PR);(PR);Amaporã;#N/D;0,669;0,644;0,785;0,591
Amaraji (PE);(PE);Amaraji;260090;0,58;0,575;0,748;0,454
Amaral Ferrador (RS);(RS);Amaral Ferrador;#N/D;0,624;0,664;0,802;0,457
Amaralina (GO);(GO);Amaralina;520082;0,609;0,569;0,813;0,489
Amarante do Maranhão (MA);(MA);Amarante do Maranhão;#N/D;0,555;0,541;0,716;0,441
Amarante (PI);(PI);Amarante;220050;0,598;0,574;0,75;0,497
Amargosa (BA);(BA);Amargosa;290100;0,625;0,616;0,807;0,492
Amaturá (AM);(AM);Amaturá;#N/D;0,56;0,499;0,773;0,455
Amélia Rodrigues (BA);(BA);Amélia Rodrigues;#N/D;0,666;0,609;0,81;0,6
América Dourada (BA);(BA);América Dourada;#N/D;0,561;0,506;0,751;0,464
Americana (SP);(SP);Americana;350160;0,811;0,8;0,876;0,76
Americano do Brasil (GO);(GO);Americano do Brasil;520085;0,7;0,669;0,813;0,631
Américo Brasiliense (SP);(SP);Américo Brasiliense;#N/D;0,751;0,709;0,852;0,701
Américo de Campos (SP);(SP);Américo de Campos;#N/D;0,745;0,715;0,817;0,708
Ametista do Sul (RS);(RS);Ametista do Sul;430064;0,682;0,697;0,809;0,562
Amontada (CE);(CE);Amontada;230075;0,606;0,503;0,761;0,582
Amorinópolis (GO);(GO);Amorinópolis;#N/D;0,681;0,672;0,813;0,579
Amparo de São Francisco (SE);(SE);Amparo de São Francisco;#N/D;0,611;0,569;0,728;0,55
Amparo do Serra (MG);(MG);Amparo do Serra;310250;0,641;0,616;0,811;0,528
Amparo (PB);(PB);Amparo;250073;0,606;0,537;0,752;0,551
Amparo (SP);(SP);Amparo;350190;0,785;0,78;0,871;0,711
Ampére (PR);(PR);Ampére;#N/D;0,709;0,699;0,824;0,62
Anadia (AL);(AL);Anadia;270020;0,568;0,546;0,756;0,444
Anagé (BA);(BA);Anagé;#N/D;0,54;0,549;0,771;0,371
Anahy (PR);(PR);Anahy;#N/D;0,695;0,671;0,844;0,593
Anajás (PA);(PA);Anajás;#N/D;0,484;0,506;0,774;0,29
Anajatuba (MA);(MA);Anajatuba;210070;0,581;0,523;0,762;0,492
Analândia (SP);(SP);Analândia;#N/D;0,754;0,745;0,861;0,668
Anamã (AM);(AM);Anamã;#N/D;0,594;0,537;0,741;0,526
Ananás (TO);(TO);Ananás;#N/D;0,671;0,621;0,804;0,605
Ananindeua (PA);(PA);Ananindeua;150080;0,718;0,684;0,821;0,658
Anápolis (GO);(GO);Anápolis;#N/D;0,737;0,737;0,822;0,66
Anapu (PA);(PA);Anapu;150085;0,548;0,563;0,788;0,371
Anapurus (MA);(MA);Anapurus;210080;0,581;0,511;0,764;0,502
Anastácio (MS);(MS);Anastácio;#N/D;0,663;0,663;0,789;0,557
Anaurilândia (MS);(MS);Anaurilândia;#N/D;0,67;0,676;0,826;0,538
Anchieta (ES);(ES);Anchieta;320040;0,73;0,696;0,856;0,654
Anchieta (SC);(SC);Anchieta;420080;0,699;0,703;0,8;0,608
Andaraí (BA);(BA);Andaraí;#N/D;0,555;0,54;0,764;0,415
Andirá (PR);(PR);Andirá;#N/D;0,725;0,69;0,838;0,66
Andorinha (BA);(BA);Andorinha;290135;0,588;0,586;0,731;0,474
Andradas (MG);(MG);Andradas;310260;0,734;0,731;0,878;0,617
Andradina (SP);(SP);Andradina;350210;0,779;0,762;0,885;0,702
André da Rocha (RS);(RS);André da Rocha;#N/D;0,72;0,738;0,837;0,605
Andrelândia (MG);(MG);Andrelândia;#N/D;0,7;0,675;0,818;0,621
Angatuba (SP);(SP);Angatuba;350220;0,719;0,693;0,827;0,648
Angelândia (MG);(MG);Angelândia;#N/D;0,597;0,594;0,756;0,473
Angélica (MS);(MS);Angélica;#N/D;0,697;0,692;0,839;0,582
Angelim (PE);(PE);Angelim;#N/D;0,572;0,555;0,751;0,448
Angelina (SC);(SC);Angelina;#N/D;0,687;0,699;0,797;0,581
Angical (BA);(BA);Angical;290140;0,625;0,564;0,778;0,556
Angical do Piauí (PI);(PI);Angical do Piauí;#N/D;0,63;0,61;0,737;0,555
Angicos (RN);(RN);Angicos;#N/D;0,624;0,606;0,756;0,53
Angico (TO);(TO);Angico;170105;0,648;0,576;0,773;0,612
Angra dos Reis (RJ);(RJ);Angra dos Reis;330010;0,724;0,74;0,846;0,605
Anguera (BA);(BA);Anguera;290150;0,589;0,565;0,766;0,471
Ângulo (PR);(PR);Ângulo;#N/D;0,721;0,705;0,827;0,644
Anhanguera (GO);(GO);Anhanguera;520120;0,725;0,724;0,802;0,657
Anhembi (SP);(SP);Anhembi;350230;0,721;0,681;0,863;0,637
Anhumas (SP);(SP);Anhumas;350240;0,741;0,683;0,845;0,706
Anicuns (GO);(GO);Anicuns;520130;0,714;0,695;0,834;0,627
Anísio de Abreu (PI);(PI);Anísio de Abreu;#N/D;0,594;0,534;0,768;0,512
Anita Garibaldi (SC);(SC);Anita Garibaldi;#N/D;0,688;0,667;0,826;0,592
Anitápolis (SC);(SC);Anitápolis;#N/D;0,674;0,699;0,836;0,524
Anori (AM);(AM);Anori;#N/D;0,561;0,54;0,757;0,433
Anta Gorda (RS);(RS);Anta Gorda;430070;0,74;0,742;0,868;0,63
Antas (BA);(BA);Antas;#N/D;0,592;0,573;0,739;0,491
Antonina do Norte (CE);(CE);Antonina do Norte;#N/D;0,599;0,55;0,772;0,506
Antonina (PR);(PR);Antonina;410120;0,687;0,686;0,838;0,564
Antônio Almeida (PI);(PI);Antônio Almeida;#N/D;0,62;0,579;0,781;0,527
Antônio Cardoso (BA);(BA);Antônio Cardoso;#N/D;0,561;0,544;0,768;0,422
Antônio Carlos (MG);(MG);Antônio Carlos;#N/D;0,683;0,65;0,838;0,584
Antônio Carlos (SC);(SC);Antônio Carlos;#N/D;0,749;0,768;0,89;0,615
Antônio Dias (MG);(MG);Antônio Dias;#N/D;0,645;0,624;0,849;0,507
Antônio Gonçalves (BA);(BA);Antônio Gonçalves;#N/D;0,598;0,58;0,741;0,498
Antônio João (MS);(MS);Antônio João;#N/D;0,643;0,633;0,799;0,526
Antônio Martins (RN);(RN);Antônio Martins;#N/D;0,578;0,554;0,76;0,458
Antônio Olinto (PR);(PR);Antônio Olinto;#N/D;0,656;0,626;0,825;0,547
Antônio Prado de Minas (MG);(MG);Antônio Prado de Minas;#N/D;0,684;0,674;0,83;0,572
Antônio Prado (RS);(RS);Antônio Prado;#N/D;0,758;0,777;0,835;0,671
Aparecida de Goiânia (GO);(GO);Aparecida de Goiânia;#N/D;0,718;0,716;0,834;0,62
Aparecida D'Oeste (SP);(SP);Aparecida D'Oeste;350260;0,721;0,697;0,804;0,67
Aparecida do Rio Doce (GO);(GO);Aparecida do Rio Doce;520145;0,693;0,7;0,814;0,583
Aparecida do Rio Negro (TO);(TO);Aparecida do Rio Negro;#N/D;0,651;0,593;0,791;0,588
Aparecida do Taboado (MS);(MS);Aparecida do Taboado;500100;0,697;0,717;0,804;0,588
Aparecida (PB);(PB);Aparecida;#N/D;0,578;0,567;0,747;0,456
Aparecida (SP);(SP);Aparecida;350250;0,755;0,735;0,828;0,706
Aperibé (RJ);(RJ);Aperibé;#N/D;0,692;0,67;0,785;0,631
Apiacá (ES);(ES);Apiacá;#N/D;0,673;0,659;0,841;0,549
Apiacás (MT);(MT);Apiacás;#N/D;0,675;0,666;0,809;0,57
Apiaí (SP);(SP);Apiaí;#N/D;0,71;0,662;0,835;0,647
Apicum-Açu (MA);(MA);Apicum-Açu;#N/D;0,568;0,529;0,718;0,483
Apiúna (SC);(SC);Apiúna;#N/D;0,708;0,735;0,827;0,584
Apodi (RN);(RN);Apodi;240100;0,639;0,611;0,747;0,571
Aporá (BA);(BA);Aporá;#N/D;0,548;0,516;0,751;0,425
Aporé (GO);(GO);Aporé;#N/D;0,693;0,692;0,823;0,584
Apuarema (BA);(BA);Apuarema;#N/D;0,552;0,555;0,735;0,413
Apucarana (PR);(PR);Apucarana;410140;0,748;0,741;0,845;0,668
Apuí (AM);(AM);Apuí;#N/D;0,637;0,621;0,772;0,54
Apuiarés (CE);(CE);Apuiarés;#N/D;0,618;0,536;0,741;0,593
Aquidabã (SE);(SE);Aquidabã;#N/D;0,578;0,573;0,747;0,452
Aquidauana (MS);(MS);Aquidauana;500110;0,688;0,69;0,84;0,562
Aquiraz (CE);(CE);Aquiraz;230100;0,641;0,608;0,788;0,55
Arabutã (SC);(SC);Arabutã;#N/D;0,733;0,744;0,863;0,614
Araçagi (PB);(PB);Araçagi;#N/D;0,549;0,54;0,745;0,412
Araçaí (MG);(MG);Araçaí;#N/D;0,695;0,659;0,805;0,632
Aracaju (SE);(SE);Aracaju;280030;0,77;0,784;0,823;0,708
Araçariguama (SP);(SP);Araçariguama;#N/D;0,704;0,717;0,814;0,597
Araças (BA);(BA);Araças;#N/D;0,57;0,54;0,744;0,462
Aracati (CE);(CE);Aracati;230110;0,655;0,607;0,742;0,624
Aracatu (BA);(BA);Aracatu;290200;0,581;0,591;0,754;0,439
Araçatuba (SP);(SP);Araçatuba;#N/D;0,788;0,782;0,841;0,744
Araci (BA);(BA);Araci;290210;0,534;0,534;0,747;0,381
Aracitaba (MG);(MG);Aracitaba;#N/D;0,661;0,608;0,823;0,577
Aracoiaba (CE);(CE);Aracoiaba;230120;0,615;0,55;0,759;0,556
Araçoiaba da Serra (SP);(SP);Araçoiaba da Serra;#N/D;0,776;0,751;0,86;0,723
Araçoiaba (PE);(PE);Araçoiaba;#N/D;0,592;0,544;0,765;0,498
Aracruz (ES);(ES);Aracruz;320060;0,752;0,717;0,838;0,707
Araçuaí (MG);(MG);Araçuaí;#N/D;0,663;0,633;0,821;0,56
Araçu (GO);(GO);Araçu;#N/D;0,693;0,686;0,838;0,578
Aragarças (GO);(GO);Aragarças;#N/D;0,732;0,694;0,83;0,68
Aragoiânia (GO);(GO);Aragoiânia;#N/D;0,684;0,683;0,837;0,56
Aragominas (TO);(TO);Aragominas;#N/D;0,593;0,611;0,739;0,461
Araguacema (TO);(TO);Araguacema;170190;0,639;0,587;0,805;0,553
Araguaçu (TO);(TO);Araguaçu;#N/D;0,675;0,642;0,796;0,602
Araguaiana (MT);(MT);Araguaiana;510100;0,687;0,671;0,817;0,591
Araguaína (TO);(TO);Araguaína;#N/D;0,752;0,727;0,821;0,712
Araguainha (MT);(MT);Araguainha;510120;0,701;0,65;0,844;0,627
Araguanã (MA);(MA);Araguanã;#N/D;0,533;0,483;0,706;0,444
Araguanã (TO);(TO);Araguanã;#N/D;0,604;0,617;0,756;0,473
Araguapaz (GO);(GO);Araguapaz;520215;0,674;0,696;0,814;0,54
Araguari (MG);(MG);Araguari;310350;0,773;0,74;0,871;0,716
Araguatins (TO);(TO);Araguatins;170220;0,631;0,604;0,793;0,525
Araioses (MA);(MA);Araioses;210090;0,521;0,497;0,709;0,402
Aral Moreira (MS);(MS);Aral Moreira;500124;0,633;0,628;0,798;0,507
Aramari (BA);(BA);Aramari;#N/D;0,588;0,568;0,761;0,47
Arambaré (RS);(RS);Arambaré;#N/D;0,691;0,694;0,833;0,57
Arame (MA);(MA);Arame;#N/D;0,512;0,525;0,701;0,365
Aramina (SP);(SP);Aramina;350300;0,74;0,723;0,856;0,656
Arandu (SP);(SP);Arandu;350310;0,685;0,675;0,806;0,592
Arantina (MG);(MG);Arantina;#N/D;0,697;0,633;0,834;0,641
Arapeí (SP);(SP);Arapeí;#N/D;0,68;0,634;0,812;0,612
Arapiraca (AL);(AL);Arapiraca;270030;0,649;0,638;0,78;0,549
Arapoema (TO);(TO);Arapoema;170230;0,68;0,645;0,81;0,601
